,Date,Prefecture,Severe cases
556,2020/5/20,Hyogo,13
557,2020/5/20,Nara,1
558,2020/5/20,Wakayama,0
559,2020/5/20,Tottori,0
560,2020/5/20,Shimane,1
561,2020/5/20,Okayama,0
562,2020/5/20,Hiroshima,1
563,2020/5/20,Yamaguchi,1
564,2020/5/20,Tokushima,0
565,2020/5/20,Kagawa,0
566,2020/5/20,Ehime,1
567,2020/5/20,Kochi,0
568,2020/5/20,Fukuoka,6
569,2020/5/20,Saga,0
570,2020/5/20,Nagasaki,0
571,2020/5/20,Kumamoto,1
572,2020/5/20,Oita,0
573,2020/5/20,Miyazaki,0
574,2020/5/20,Kagoshima,0
575,2020/5/20,Okinawa,4
576,2020/5/21,ALL,176
577,2020/5/21,Hokkaido,17
578,2020/5/21,Aomori,0
579,2020/5/21,Iwate,0
580,2020/5/21,Miyagi,0
581,2020/5/21,Akita,0
582,2020/5/21,Yamagata,2
583,2020/5/21,Fukushima,0
584,2020/5/21,Ibaraki,1
585,2020/5/21,Tochigi,5
586,2020/5/21,Gunma,1
587,2020/5/21,Saitama,5
588,2020/5/21,Chiba,6
589,2020/5/21,Tokyo,42
590,2020/5/21,Kanagawa,28
591,2020/5/21,Niigata,0
592,2020/5/21,Toyama,0
593,2020/5/21,Ishikawa,3
594,2020/5/21,Fukui,2
595,2020/5/21,Yamanashi,1
596,2020/5/21,Nagano,1
597,2020/5/21,Gifu,1
598,2020/5/21,Shizuoka,1
599,2020/5/21,Aichi,0
600,2020/5/21,Mie,0
601,2020/5/21,Shiga,1
602,2020/5/21,Kyoto,4
603,2020/5/21,Osaka,30
604,2020/5/21,Hyogo,12
605,2020/5/21,Nara,1
606,2020/5/21,Wakayama,0
607,2020/5/21,Tottori,0
608,2020/5/21,Shimane,1
609,2020/5/21,Okayama,0
610,2020/5/21,Hiroshima,1
611,2020/5/21,Yamaguchi,1
612,2020/5/21,Tokushima,0
613,2020/5/21,Kagawa,0
614,2020/5/21,Ehime,0
615,2020/5/21,Kochi,0
616,2020/5/21,Fukuoka,4
617,2020/5/21,Saga,0
618,2020/5/21,Nagasaki,0
619,2020/5/21,Kumamoto,1
620,2020/5/21,Oita,0
621,2020/5/21,Miyazaki,0
622,2020/5/21,Kagoshima,0
623,2020/5/21,Okinawa,4
624,2020/5/22,ALL,174
625,2020/5/22,Hokkaido,17
626,2020/5/22,Aomori,0
627,2020/5/22,Iwate,0
628,2020/5/22,Miyagi,0
629,2020/5/22,Akita,0
630,2020/5/22,Yamagata,1
631,2020/5/22,Fukushima,0
632,2020/5/22,Ibaraki,0
633,2020/5/22,Tochigi,5
634,2020/5/22,Gunma,1
635,2020/5/22,Saitama,6
636,2020/5/22,Chiba,6
637,2020/5/22,Tokyo,42
638,2020/5/22,Kanagawa,30
639,2020/5/22,Niigata,0
640,2020/5/22,Toyama,0
641,2020/5/22,Ishikawa,3
642,2020/5/22,Fukui,2
643,2020/5/22,Yamanashi,1
644,2020/5/22,Nagano,1
645,2020/5/22,Gifu,1
646,2020/5/22,Shizuoka,1
647,2020/5/22,Aichi,0
648,2020/5/22,Mie,0
649,2020/5/22,Shiga,1
650,2020/5/22,Kyoto,3
651,2020/5/22,Osaka,30
652,2020/5/22,Hyogo,12
653,2020/5/22,Nara,0
654,2020/5/22,Wakayama,0
655,2020/5/22,Tottori,0
656,2020/5/22,Shimane,1
657,2020/5/22,Okayama,0
658,2020/5/22,Hiroshima,1
659,2020/5/22,Yamaguchi,1
660,2020/5/22,Tokushima,0
661,2020/5/22,Kagawa,0
662,2020/5/22,Ehime,0
663,2020/5/22,Kochi,0
664,2020/5/22,Fukuoka,5
665,2020/5/22,Saga,0
666,2020/5/22,Nagasaki,0
667,2020/5/22,Kumamoto,0
668,2020/5/22,Oita,0
669,2020/5/22,Miyazaki,0
670,2020/5/22,Kagoshima,0
671,2020/5/22,Okinawa,3
672,2020/5/23,ALL,168
673,2020/5/23,Hokkaido,17
674,2020/5/23,Aomori,0
675,2020/5/23,Iwate,0
676,2020/5/23,Miyagi,0
677,2020/5/23,Akita,0
678,2020/5/23,Yamagata,1
679,2020/5/23,Fukushima,0
680,2020/5/23,Ibaraki,0
681,2020/5/23,Tochigi,5
682,2020/5/23,Gunma,1
683,2020/5/23,Saitama,6
684,2020/5/23,Chiba,6
685,2020/5/23,Tokyo,43
686,2020/5/23,Kanagawa,30
687,2020/5/23,Niigata,0
688,2020/5/23,Toyama,0
689,2020/5/23,Ishikawa,3
690,2020/5/23,Fukui,2
691,2020/5/23,Yamanashi,1
692,2020/5/23,Nagano,1
693,2020/5/23,Gifu,1
694,2020/5/23,Shizuoka,1
695,2020/5/23,Aichi,0
696,2020/5/23,Mie,0
697,2020/5/23,Shiga,1
698,2020/5/23,Kyoto,3
699,2020/5/23,Osaka,24
700,2020/5/23,Hyogo,11
701,2020/5/23,Nara,0
702,2020/5/23,Wakayama,0
703,2020/5/23,Tottori,0
704,2020/5/23,Shimane,1
705,2020/5/23,Okayama,0
706,2020/5/23,Hiroshima,1
707,2020/5/23,Yamaguchi,1
708,2020/5/23,Tokushima,0
709,2020/5/23,Kagawa,0
710,2020/5/23,Ehime,0
711,2020/5/23,Kochi,0
712,2020/5/23,Fukuoka,5
713,2020/5/23,Saga,0
714,2020/5/23,Nagasaki,0
715,2020/5/23,Kumamoto,0
716,2020/5/23,Oita,0
717,2020/5/23,Miyazaki,0
718,2020/5/23,Kagoshima,0
719,2020/5/23,Okinawa,3
720,2020/5/24,ALL,165
721,2020/5/24,Hokkaido,15
722,2020/5/24,Aomori,0
723,2020/5/24,Iwate,0
724,2020/5/24,Miyagi,0
725,2020/5/24,Akita,0
726,2020/5/24,Yamagata,1
727,2020/5/24,Fukushima,0
728,2020/5/24,Ibaraki,0
729,2020/5/24,Tochigi,5
