,date,tested
514,2021/07/06,53956.0
515,2021/07/07,66486.0
516,2021/07/08,60703.0
517,2021/07/09,71192.0
518,2021/07/10,44123.0
519,2021/07/11,26094.0
520,2021/07/12,64222.0
521,2021/07/13,103897.0
522,2021/07/14,64174.0
523,2021/07/15,67513.0
524,2021/07/16,76436.0
525,2021/07/17,43473.0
526,2021/07/18,25835.0
527,2021/07/19,68952.0
528,2021/07/20,65964.0
529,2021/07/21,69363.0
530,2021/07/22,37605.0
531,2021/07/23,50137.0
532,2021/07/24,32099.0
533,2021/07/25,17654.0
534,2021/07/26,95137.0
535,2021/07/27,92345.0
536,2021/07/28,86528.0
537,2021/07/29,88769.0
538,2021/07/30,88920.0
539,2021/07/31,87700.0
540,2021/08/01,36604.0
541,2021/08/02,105130.0
542,2021/08/03,83159.0
543,2021/08/04,100583.0
544,2021/08/05,114844.0
545,2021/08/06,112653.0
546,2021/08/07,71501.0
547,2021/08/08,41841.0
548,2021/08/09,28421.0
549,2021/08/10,126671.0
550,2021/08/11,128856.0
551,2021/08/12,110733.0
552,2021/08/13,134540.0
553,2021/08/14,81455.0
