,Date,Prefecture,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed
504,2020/5/19,Hiroshima,47,117,0
505,2020/5/19,Yamaguchi,3,34,0
506,2020/5/19,Tokushima,0,4,0
507,2020/5/19,Kagawa,1,27,0
508,2020/5/19,Ehime,27,44,0
509,2020/5/19,Kochi,4,67,0
510,2020/5/19,Fukuoka,80,553,0
511,2020/5/19,Saga,14,31,2
512,2020/5/19,Kumamoto,10,35,0
513,2020/5/19,Oita,3,56,0
514,2020/5/19,Miyazaki,3,14,0
515,2020/5/19,Kagoshima,3,7,0
516,2020/5/19,Okinawa,10,127,1
517,2020/5/20,ALL,2799,12655,24
518,2020/5/20,Hokkaido,299,642,0
519,2020/5/20,Aomori,5,21,0
520,2020/5/20,Iwate,0,0,0
521,2020/5/20,Miyagi,1,86,0
522,2020/5/20,Akita,0,16,0
523,2020/5/20,Yamagata,11,58,0
524,2020/5/20,Fukushima,13,68,0
525,2020/5/20,Ibaraki,22,137,0
526,2020/5/20,Tochigi,15,46,1
527,2020/5/20,Gunma,25,104,0
528,2020/5/20,Saitama,138,812,0
529,2020/5/20,Chiba,122,737,0
530,2020/5/20,Tokyo,887,3941,0
531,2020/5/20,Kanagawa,301,933,0
532,2020/5/20,Niigata,15,67,1
533,2020/5/20,Toyama,41,166,0
534,2020/5/20,Ishikawa,73,195,0
535,2020/5/20,Fukui,8,105,1
536,2020/5/20,Yamanashi,8,52,0
537,2020/5/20,Nagano,21,55,0
538,2020/5/20,Gifu,6,137,0
539,2020/5/20,Shizuoka,2,70,0
540,2020/5/20,Aichi,39,428,5
541,2020/5/20,Mie,5,39,0
542,2020/5/20,Shiga,18,80,0
543,2020/5/20,Kyoto,41,303,0
544,2020/5/20,Osaka,368,1323,12
545,2020/5/20,Hyogo,67,594,0
546,2020/5/20,Nara,8,81,0
547,2020/5/20,Wakayama,8,52,0
548,2020/5/20,Tottori,1,2,0
549,2020/5/20,Shimane,8,16,0
550,2020/5/20,Okayama,1,24,0
551,2020/5/20,Hiroshima,43,121,0
552,2020/5/20,Yamaguchi,3,34,0
553,2020/5/20,Tokushima,0,4,0
554,2020/5/20,Kagawa,1,27,0
555,2020/5/20,Ehime,27,44,0
556,2020/5/20,Kochi,3,68,0
557,2020/5/20,Fukuoka,63,570,0
558,2020/5/20,Saga,14,31,2
559,2020/5/20,Kumamoto,10,35,0
560,2020/5/20,Oita,2,57,0
561,2020/5/20,Miyazaki,3,14,0
562,2020/5/20,Kagoshima,2,8,0
563,2020/5/20,Okinawa,8,130,2
564,2020/5/21,ALL,2495,12988,64
565,2020/5/21,Hokkaido,272,670,0
566,2020/5/21,Aomori,4,21,1
567,2020/5/21,Iwate,0,0,0
568,2020/5/21,Miyagi,1,86,0
569,2020/5/21,Akita,0,16,0
570,2020/5/21,Yamagata,6,63,0
571,2020/5/21,Fukushima,12,69,0
572,2020/5/21,Ibaraki,20,139,0
573,2020/5/21,Tochigi,15,46,3
574,2020/5/21,Gunma,25,104,0
575,2020/5/21,Saitama,120,831,0
576,2020/5/21,Chiba,114,746,0
577,2020/5/21,Tokyo,804,4073,0
578,2020/5/21,Kanagawa,311,935,0
579,2020/5/21,Niigata,14,68,1
580,2020/5/21,Toyama,38,168,0
581,2020/5/21,Ishikawa,72,198,0
582,2020/5/21,Fukui,8,105,1
583,2020/5/21,Yamanashi,5,55,0
584,2020/5/21,Nagano,17,59,0
585,2020/5/21,Gifu,6,137,0
586,2020/5/21,Shizuoka,3,70,0
587,2020/5/21,Aichi,36,431,5
588,2020/5/21,Mie,5,39,0
589,2020/5/21,Shiga,15,83,0
590,2020/5/21,Kyoto,40,304,0
591,2020/5/21,Osaka,294,1399,11
592,2020/5/21,Hyogo,60,601,0
593,2020/5/21,Nara,7,82,0
594,2020/5/21,Wakayama,7,53,0
595,2020/5/21,Tottori,1,2,0
596,2020/5/21,Shimane,5,19,0
597,2020/5/21,Okayama,0,25,0
598,2020/5/21,Hiroshima,26,138,0
599,2020/5/21,Yamaguchi,3,34,0
600,2020/5/21,Tokushima,0,4,0
601,2020/5/21,Kagawa,1,27,0
602,2020/5/21,Ehime,26,45,0
603,2020/5/21,Kochi,3,68,0
604,2020/5/21,Fukuoka,60,573,0
605,2020/5/21,Saga,13,32,2
606,2020/5/21,Kumamoto,10,35,0
607,2020/5/21,Oita,2,57,0
608,2020/5/21,Miyazaki,3,14,0
609,2020/5/21,Kagoshima,1,9,0
610,2020/5/21,Okinawa,7,131,2
611,2020/5/22,ALL,2293,13227,36
612,2020/5/22,Hokkaido,259,687,0
613,2020/5/22,Aomori,2,24,0
614,2020/5/22,Iwate,0,0,0
615,2020/5/22,Miyagi,1,86,0
616,2020/5/22,Akita,0,16,0
617,2020/5/22,Yamagata,5,64,0
618,2020/5/22,Fukushima,12,69,0
619,2020/5/22,Ibaraki,17,142,0
620,2020/5/22,Tochigi,15,46,3
621,2020/5/22,Gunma,25,105,0
622,2020/5/22,Saitama,110,842,0
623,2020/5/22,Chiba,108,752,0
624,2020/5/22,Tokyo,670,4189,14
625,2020/5/22,Kanagawa,286,965,0
626,2020/5/22,Niigata,13,69,1
627,2020/5/22,Toyama,35,171,0
628,2020/5/22,Ishikawa,69,201,0
629,2020/5/22,Fukui,7,107,0
630,2020/5/22,Yamanashi,4,56,0
631,2020/5/22,Nagano,16,60,0
632,2020/5/22,Gifu,5,138,0
633,2020/5/22,Shizuoka,3,70,0
634,2020/5/22,Aichi,30,437,5
635,2020/5/22,Mie,5,39,0
636,2020/5/22,Shiga,15,83,0
637,2020/5/22,Kyoto,35,309,0
638,2020/5/22,Osaka,294,1399,11
639,2020/5/22,Hyogo,56,605,0
640,2020/5/22,Nara,7,82,0
641,2020/5/22,Wakayama,6,54,0
642,2020/5/22,Tottori,1,2,0
643,2020/5/22,Shimane,4,20,0
644,2020/5/22,Okayama,0,25,0
645,2020/5/22,Hiroshima,24,141,0
646,2020/5/22,Yamaguchi,3,34,0
647,2020/5/22,Tokushima,0,4,0
648,2020/5/22,Kagawa,1,27,0
649,2020/5/22,Ehime,29,45,0
650,2020/5/22,Kochi,2,69,0
651,2020/5/22,Fukuoka,47,586,0
652,2020/5/22,Saga,13,32,2
653,2020/5/22,Kumamoto,10,35,0
654,2020/5/22,Oita,2,57,0
655,2020/5/22,Miyazaki,3,14,0
656,2020/5/22,Kagoshima,1,9,0
657,2020/5/22,Okinawa,6,132,0
658,2020/5/23,ALL,2130,13396,31
659,2020/5/23,Hokkaido,241,711,0
660,2020/5/23,Aomori,2,24,0
661,2020/5/23,Iwate,0,0,0
662,2020/5/23,Miyagi,1,86,0
663,2020/5/23,Akita,0,16,0
664,2020/5/23,Yamagata,5,64,0
